arity,depth,density,dep_length,crossings,n_tokens,lang,source,model
2,7,0.07692307692307693,1.3846153846153846,0,13,ar,Human,N/A
2,6,0.07692307692307693,4.0,16,13,ar,Random,N/A
4,11,0.017241379310344827,3.5344827586206895,0,58,ar,Human,N/A
7,7,0.017241379310344827,17.413793103448278,540,58,ar,Random,N/A
5,10,0.022222222222222223,3.2888888888888888,0,45,ar,Human,N/A
5,9,0.022222222222222223,15.777777777777779,276,45,ar,Random,N/A
2,7,0.058823529411764705,2.4705882352941178,0,17,ar,Human,N/A
5,5,0.058823529411764705,3.6470588235294117,19,17,ar,Random,N/A
3,12,0.02702702702702703,3.4054054054054053,0,37,ar,Human,N/A
7,5,0.02702702702702703,12.891891891891891,233,37,ar,Random,N/A
2,6,0.0625,2.5625,0,16,ar,Human,N/A
3,4,0.0625,5.5625,39,16,ar,Random,N/A
3,12,0.014084507042253521,4.056338028169014,0,71,ar,Human,N/A
5,7,0.014084507042253521,25.760563380281692,722,71,ar,Random,N/A
2,6,0.07692307692307693,1.4615384615384615,0,13,ar,Human,N/A
4,3,0.07692307692307693,4.0,14,13,ar,Random,N/A
4,10,0.02857142857142857,3.1142857142857143,0,35,ar,Human,N/A
5,5,0.02857142857142857,11.314285714285715,192,35,ar,Random,N/A
3,10,0.02631578947368421,3.6052631578947367,0,38,ar,Human,N/A
5,8,0.02631578947368421,10.81578947368421,182,38,ar,Random,N/A
2,11,0.05263157894736842,2.1578947368421053,0,19,ar,Human,N/A
5,5,0.05263157894736842,5.2631578947368425,49,19,ar,Random,N/A
3,6,0.07142857142857142,2.2857142857142856,0,14,ar,Human,N/A
4,5,0.07142857142857142,4.571428571428571,11,14,ar,Random,N/A
3,5,0.08333333333333333,2.1666666666666665,0,12,ar,Human,N/A
3,4,0.08333333333333333,2.8333333333333335,3,12,ar,Random,N/A
3,4,0.125,1.25,0,8,ar,Human,N/A
3,3,0.125,1.875,2,8,ar,Random,N/A
3,6,0.07692307692307693,2.3076923076923075,0,13,ar,Human,N/A
3,5,0.07692307692307693,5.769230769230769,21,13,ar,Random,N/A
4,13,0.023809523809523808,2.8333333333333335,0,42,ar,Human,N/A
5,8,0.023809523809523808,17.857142857142858,299,42,ar,Random,N/A
4,7,0.043478260869565216,2.782608695652174,0,23,ar,Human,N/A
4,4,0.043478260869565216,7.391304347826087,94,23,ar,Random,N/A
3,8,0.047619047619047616,2.9047619047619047,0,21,ar,Human,N/A
3,5,0.047619047619047616,7.190476190476191,59,21,ar,Random,N/A
3,5,0.058823529411764705,2.588235294117647,0,17,ar,Human,N/A
4,6,0.058823529411764705,5.823529411764706,26,17,ar,Random,N/A
3,8,0.043478260869565216,3.217391304347826,0,23,ar,Human,N/A
6,5,0.043478260869565216,8.347826086956522,56,23,ar,Random,N/A
3,4,0.125,2.0,0,8,ar,Human,N/A
2,5,0.125,2.875,7,8,ar,Random,N/A
3,4,0.1111111111111111,2.2222222222222223,0,9,ar,Human,N/A
3,5,0.1111111111111111,3.111111111111111,5,9,ar,Random,N/A
3,7,0.045454545454545456,3.0,0,22,ar,Human,N/A
4,5,0.045454545454545456,6.7272727272727275,51,22,ar,Random,N/A
3,6,0.047619047619047616,3.0476190476190474,0,21,ar,Human,N/A
6,5,0.047619047619047616,6.380952380952381,46,21,ar,Random,N/A
3,9,0.041666666666666664,2.5,0,24,ar,Human,N/A
