Language,Metric,D-Statistic,P-Value,Significant?
ar,dep_length,0.3205,3.29e-20,True
ar,depth,0.4843,1.24e-46,True
de,dep_length,0.4942,1.49e-49,True
de,depth,0.205,1.30e-08,True
en,dep_length,0.2975,7.74e-18,True
en,depth,0.66,3.82e-92,True
fi,dep_length,0.2028,1.82e-08,True
fi,depth,0.2895,7.02e-17,True
fr,dep_length,0.3057,8.29e-19,True
fr,depth,0.4934,1.54e-49,True
hi,dep_length,0.5242,3.71e-56,True
hi,depth,0.4219,6.94e-36,True
ja,dep_length,0.3598,4.99e-26,True
ja,depth,0.5412,4.09e-60,True
ru,dep_length,0.4534,1.31e-41,True
ru,depth,0.5263,1.11e-56,True
tr,dep_length,0.354,3.19e-25,True
tr,depth,0.329,8.74e-22,True
zh,dep_length,0.5693,8.75e-67,True
zh,depth,0.6144,1.42e-78,True
