Language,Metric,D-Statistic,P-Value,Significant?
ar,dep_length,0.218,1.00e-09,True
ar,depth,0.145,1.55e-04,True
de,dep_length,0.6695,4.38e-95,True
de,depth,0.286,1.68e-16,True
en,dep_length,0.269,1.25e-14,True
en,depth,0.628,1.10e-82,True
fi,dep_length,0.5167,1.64e-56,True
fi,depth,0.516,2.40e-56,True
fr,dep_length,0.3748,7.34e-29,True
fr,depth,0.4505,6.00e-42,True
hi,dep_length,0.606,1.45e-76,True
hi,depth,0.279,1.03e-15,True
ja,dep_length,0.6036,2.18e-76,True
ja,depth,0.5147,1.56e-54,True
ru,dep_length,0.4432,1.92e-40,True
ru,depth,0.5509,1.53e-63,True
tr,dep_length,0.3834,8.02e-29,True
tr,depth,0.5806,6.23e-68,True
zh,dep_length,0.2866,1.31e-16,True
zh,depth,0.4456,2.47e-40,True
