arity,depth,density,dep_length,crossings,n_tokens,lang,source,model
2,7,0.07692307692307693,1.3846153846153846,0,13,ar,Human,N/A
5,3,0.07692307692307693,2.923076923076923,9,13,ar,Random,N/A
4,11,0.017241379310344827,3.5344827586206895,0,58,ar,Human,N/A
4,9,0.017241379310344827,18.086206896551722,527,58,ar,Random,N/A
5,10,0.022222222222222223,3.2888888888888888,0,45,ar,Human,N/A
4,7,0.022222222222222223,16.755555555555556,281,45,ar,Random,N/A
2,7,0.058823529411764705,2.4705882352941178,0,17,ar,Human,N/A
6,4,0.058823529411764705,4.823529411764706,19,17,ar,Random,N/A
3,12,0.02702702702702703,3.4054054054054053,0,37,ar,Human,N/A
5,6,0.02702702702702703,12.54054054054054,174,37,ar,Random,N/A
2,6,0.0625,2.5625,0,16,ar,Human,N/A
4,4,0.0625,5.125,29,16,ar,Random,N/A
3,12,0.014084507042253521,4.056338028169014,0,71,ar,Human,N/A
5,7,0.014084507042253521,20.661971830985916,637,71,ar,Random,N/A
2,6,0.07692307692307693,1.4615384615384615,0,13,ar,Human,N/A
4,5,0.07692307692307693,4.461538461538462,7,13,ar,Random,N/A
4,10,0.02857142857142857,3.1142857142857143,0,35,ar,Human,N/A
4,5,0.02857142857142857,12.82857142857143,196,35,ar,Random,N/A
3,10,0.02631578947368421,3.6052631578947367,0,38,ar,Human,N/A
4,6,0.02631578947368421,12.342105263157896,172,38,ar,Random,N/A
2,11,0.05263157894736842,2.1578947368421053,0,19,ar,Human,N/A
3,5,0.05263157894736842,6.578947368421052,36,19,ar,Random,N/A
3,6,0.07142857142857142,2.2857142857142856,0,14,ar,Human,N/A
4,5,0.07142857142857142,3.5714285714285716,16,14,ar,Random,N/A
3,5,0.08333333333333333,2.1666666666666665,0,12,ar,Human,N/A
3,5,0.08333333333333333,3.6666666666666665,9,12,ar,Random,N/A
3,4,0.125,1.25,0,8,ar,Human,N/A
3,2,0.125,2.25,5,8,ar,Random,N/A
3,6,0.07692307692307693,2.3076923076923075,0,13,ar,Human,N/A
5,4,0.07692307692307693,4.0,16,13,ar,Random,N/A
4,13,0.023809523809523808,2.8333333333333335,0,42,ar,Human,N/A
7,6,0.023809523809523808,13.142857142857142,227,42,ar,Random,N/A
4,7,0.043478260869565216,2.782608695652174,0,23,ar,Human,N/A
4,7,0.043478260869565216,7.3478260869565215,71,23,ar,Random,N/A
3,8,0.047619047619047616,2.9047619047619047,0,21,ar,Human,N/A
3,5,0.047619047619047616,5.476190476190476,45,21,ar,Random,N/A
3,5,0.058823529411764705,2.588235294117647,0,17,ar,Human,N/A
5,5,0.058823529411764705,5.705882352941177,25,17,ar,Random,N/A
3,8,0.043478260869565216,3.217391304347826,0,23,ar,Human,N/A
5,7,0.043478260869565216,6.434782608695652,60,23,ar,Random,N/A
3,4,0.125,2.0,0,8,ar,Human,N/A
4,3,0.125,2.375,2,8,ar,Random,N/A
3,4,0.1111111111111111,2.2222222222222223,0,9,ar,Human,N/A
2,4,0.1111111111111111,2.2222222222222223,5,9,ar,Random,N/A
3,7,0.045454545454545456,3.0,0,22,ar,Human,N/A
3,6,0.045454545454545456,9.0,84,22,ar,Random,N/A
3,6,0.047619047619047616,3.0476190476190474,0,21,ar,Human,N/A
4,7,0.047619047619047616,6.619047619047619,44,21,ar,Random,N/A
3,9,0.041666666666666664,2.5,0,24,ar,Human,N/A
5,7,0.041666666666666664,8.625,92,24,ar,Random,N/A
3,4,0.125,1.25,0,8,ar,Human,N/A
2,3,0.125,1.625,0,8,ar,Random,N/A
3,5,0.1,2.0,0,10,ar,Human,N/A
4,4,0.1,2.4,3,10,ar,Random,N/A
3,5,0.07142857142857142,2.4285714285714284,0,14,ar,Human,N/A
3,6,0.07142857142857142,5.142857142857143,22,14,ar,Random,N/A
3,8,0.041666666666666664,2.7083333333333335,0,24,ar,Human,N/A
4,6,0.041666666666666664,7.375,78,24,ar,Random,N/A
4,8,0.03571428571428571,3.107142857142857,0,28,ar,Human,N/A
6,5,0.03571428571428571,8.642857142857142,87,28,ar,Random,N/A
4,6,0.047619047619047616,3.0952380952380953,0,21,ar,Human,N/A
4,5,0.047619047619047616,7.0476190476190474,49,21,ar,Random,N/A
4,5,0.043478260869565216,3.217391304347826,0,23,ar,Human,N/A
7,4,0.043478260869565216,10.0,66,23,ar,Random,N/A
3,8,0.047619047619047616,2.619047619047619,0,21,ar,Human,N/A
4,6,0.047619047619047616,6.0,33,21,ar,Random,N/A
4,7,0.05,2.65,0,20,ar,Human,N/A
5,5,0.05,6.7,49,20,ar,Random,N/A
4,10,0.04,2.6,1,25,ar,Human,N/A
5,4,0.04,7.52,74,25,ar,Random,N/A
3,11,0.03125,2.75,0,32,ar,Human,N/A
5,6,0.03125,8.5625,149,32,ar,Random,N/A
6,8,0.02702702702702703,4.243243243243243,4,37,ar,Human,N/A
4,6,0.02702702702702703,11.594594594594595,179,37,ar,Random,N/A
8,9,0.018867924528301886,4.735849056603773,0,53,ar,Human,N/A
5,7,0.018867924528301886,14.773584905660377,324,53,ar,Random,N/A
4,5,0.09090909090909091,1.4545454545454546,0,11,ar,Human,N/A
5,4,0.09090909090909091,3.8181818181818183,11,11,ar,Random,N/A
6,10,0.02564102564102564,3.1794871794871793,0,39,ar,Human,N/A
6,6,0.02564102564102564,13.615384615384615,197,39,ar,Random,N/A
5,11,0.03225806451612903,2.870967741935484,1,31,ar,Human,N/A
5,5,0.03225806451612903,10.387096774193548,124,31,ar,Random,N/A
4,12,0.024390243902439025,3.1219512195121952,0,41,ar,Human,N/A
6,5,0.024390243902439025,13.512195121951219,287,41,ar,Random,N/A
4,7,0.037037037037037035,3.0,0,27,ar,Human,N/A
5,6,0.037037037037037035,9.851851851851851,89,27,ar,Random,N/A
4,6,0.058823529411764705,2.411764705882353,0,17,ar,Human,N/A
4,5,0.058823529411764705,5.705882352941177,39,17,ar,Random,N/A
4,7,0.038461538461538464,3.230769230769231,0,26,ar,Human,N/A
5,5,0.038461538461538464,8.961538461538462,80,26,ar,Random,N/A
3,8,0.038461538461538464,3.4615384615384617,0,26,ar,Human,N/A
5,5,0.038461538461538464,9.576923076923077,84,26,ar,Random,N/A
2,6,0.1111111111111111,1.0,0,9,ar,Human,N/A
3,4,0.1111111111111111,3.5555555555555554,10,9,ar,Random,N/A
5,16,0.017241379310344827,3.189655172413793,0,58,ar,Human,N/A
5,8,0.017241379310344827,18.82758620689655,485,58,ar,Random,N/A
3,11,0.03225806451612903,3.2903225806451615,0,31,ar,Human,N/A
5,5,0.03225806451612903,12.064516129032258,144,31,ar,Random,N/A
4,15,0.034482758620689655,3.4482758620689653,0,29,ar,Human,N/A
3,8,0.034482758620689655,12.0,141,29,ar,Random,N/A
6,13,0.017241379310344827,5.5344827586206895,0,58,ar,Human,N/A
5,7,0.017241379310344827,19.896551724137932,533,58,ar,Random,N/A
3,11,0.037037037037037035,2.6296296296296298,0,27,ar,Human,N/A
4,6,0.037037037037037035,9.296296296296296,87,27,ar,Random,N/A
3,5,0.0625,1.9375,0,16,ar,Human,N/A
4,4,0.0625,4.3125,28,16,ar,Random,N/A
4,7,0.030303030303030304,3.272727272727273,0,33,ar,Human,N/A
5,5,0.030303030303030304,11.363636363636363,181,33,ar,Random,N/A
3,11,0.02040816326530612,3.204081632653061,0,49,ar,Human,N/A
7,6,0.02040816326530612,17.489795918367346,411,49,ar,Random,N/A
5,13,0.020833333333333332,3.8333333333333335,0,48,ar,Human,N/A
5,6,0.020833333333333332,18.791666666666668,442,48,ar,Random,N/A
5,6,0.02857142857142857,3.142857142857143,0,35,ar,Human,N/A
5,6,0.02857142857142857,13.457142857142857,196,35,ar,Random,N/A
4,14,0.02857142857142857,3.2,0,35,ar,Human,N/A
4,6,0.02857142857142857,10.628571428571428,183,35,ar,Random,N/A
2,7,0.09090909090909091,1.1818181818181819,0,11,ar,Human,N/A
4,5,0.09090909090909091,3.909090909090909,14,11,ar,Random,N/A
6,12,0.02127659574468085,3.1702127659574466,0,47,ar,Human,N/A
6,5,0.02127659574468085,16.48936170212766,342,47,ar,Random,N/A
5,9,0.025,3.425,0,40,ar,Human,N/A
5,5,0.025,13.9,220,40,ar,Random,N/A
5,7,0.02127659574468085,5.0638297872340425,0,47,ar,Human,N/A
5,7,0.02127659574468085,13.25531914893617,292,47,ar,Random,N/A
3,6,0.08333333333333333,2.5,1,12,ar,Human,N/A
4,4,0.08333333333333333,4.25,3,12,ar,Random,N/A
2,4,0.125,1.125,0,8,ar,Human,N/A
4,3,0.125,2.5,3,8,ar,Random,N/A
7,7,0.02564102564102564,3.871794871794872,0,39,ar,Human,N/A
6,6,0.02564102564102564,11.64102564102564,221,39,ar,Random,N/A
3,9,0.04,2.64,0,25,ar,Human,N/A
3,7,0.04,7.8,76,25,ar,Random,N/A
2,13,0.04,2.56,0,25,ar,Human,N/A
5,5,0.04,7.72,63,25,ar,Random,N/A
4,8,0.043478260869565216,3.260869565217391,0,23,ar,Human,N/A
4,7,0.043478260869565216,8.652173913043478,59,23,ar,Random,N/A
3,5,0.05555555555555555,2.888888888888889,0,18,ar,Human,N/A
3,6,0.05555555555555555,4.388888888888889,22,18,ar,Random,N/A
2,6,0.09090909090909091,1.3636363636363635,0,11,ar,Human,N/A
2,4,0.09090909090909091,3.6363636363636362,14,11,ar,Random,N/A
4,15,0.021739130434782608,3.0869565217391304,0,46,ar,Human,N/A
7,5,0.021739130434782608,17.282608695652176,348,46,ar,Random,N/A
4,21,0.021739130434782608,2.717391304347826,0,46,ar,Human,N/A
7,6,0.021739130434782608,14.0,318,46,ar,Random,N/A
3,18,0.02702702702702703,2.5135135135135136,0,37,ar,Human,N/A
4,6,0.02702702702702703,11.567567567567568,152,37,ar,Random,N/A
5,11,0.017241379310344827,4.293103448275862,0,58,ar,Human,N/A
6,7,0.017241379310344827,17.086206896551722,489,58,ar,Random,N/A
5,14,0.03125,2.53125,0,32,ar,Human,N/A
4,7,0.03125,9.3125,120,32,ar,Random,N/A
4,15,0.023809523809523808,2.6904761904761907,0,42,ar,Human,N/A
6,6,0.023809523809523808,14.428571428571429,228,42,ar,Random,N/A
2,3,0.16666666666666666,1.1666666666666667,0,6,ar,Human,N/A
2,2,0.16666666666666666,1.6666666666666667,0,6,ar,Random,N/A
5,7,0.03125,3.28125,0,32,ar,Human,N/A
4,6,0.03125,9.4375,123,32,ar,Random,N/A
3,8,0.0625,2.25,0,16,ar,Human,N/A
3,5,0.0625,5.9375,30,16,ar,Random,N/A
3,16,0.027777777777777776,2.611111111111111,0,36,ar,Human,N/A
4,6,0.027777777777777776,11.63888888888889,179,36,ar,Random,N/A
3,12,0.03225806451612903,2.903225806451613,0,31,ar,Human,N/A
4,6,0.03225806451612903,8.806451612903226,105,31,ar,Random,N/A
3,7,0.058823529411764705,3.1176470588235294,3,17,ar,Human,N/A
3,5,0.058823529411764705,5.117647058823529,41,17,ar,Random,N/A
3,13,0.029411764705882353,2.6470588235294117,0,34,ar,Human,N/A
6,6,0.029411764705882353,14.735294117647058,195,34,ar,Random,N/A
5,4,0.0625,2.8125,0,16,ar,Human,N/A
3,6,0.0625,4.375,28,16,ar,Random,N/A
2,8,0.047619047619047616,2.9047619047619047,2,21,ar,Human,N/A
3,7,0.047619047619047616,6.809523809523809,60,21,ar,Random,N/A
2,4,0.14285714285714285,1.1428571428571428,0,7,ar,Human,N/A
2,3,0.14285714285714285,2.2857142857142856,1,7,ar,Random,N/A
5,11,0.015384615384615385,3.4615384615384617,0,65,ar,Human,N/A
7,7,0.015384615384615385,20.307692307692307,561,65,ar,Random,N/A
5,9,0.018518518518518517,3.9074074074074074,4,54,ar,Human,N/A
5,6,0.018518518518518517,17.555555555555557,410,54,ar,Random,N/A
4,8,0.043478260869565216,3.1739130434782608,4,23,ar,Human,N/A
5,6,0.043478260869565216,7.869565217391305,94,23,ar,Random,N/A
3,8,0.043478260869565216,3.0434782608695654,1,23,ar,Human,N/A
4,5,0.043478260869565216,6.3478260869565215,58,23,ar,Random,N/A
4,9,0.030303030303030304,3.5757575757575757,2,33,ar,Human,N/A
5,4,0.030303030303030304,11.424242424242424,121,33,ar,Random,N/A
2,7,0.1,1.0,0,10,ar,Human,N/A
4,4,0.1,2.5,7,10,ar,Random,N/A
4,11,0.02857142857142857,3.057142857142857,0,35,ar,Human,N/A
6,5,0.02857142857142857,12.314285714285715,142,35,ar,Random,N/A
3,9,0.05263157894736842,2.473684210526316,0,19,ar,Human,N/A
4,5,0.05263157894736842,6.105263157894737,17,19,ar,Random,N/A
2,11,0.043478260869565216,2.347826086956522,0,23,ar,Human,N/A
5,4,0.043478260869565216,8.043478260869565,56,23,ar,Random,N/A
4,9,0.030303030303030304,2.878787878787879,0,33,ar,Human,N/A
9,4,0.030303030303030304,13.515151515151516,124,33,ar,Random,N/A
4,9,0.02127659574468085,3.7872340425531914,3,47,ar,Human,N/A
5,8,0.02127659574468085,13.936170212765957,350,47,ar,Random,N/A
5,7,0.02564102564102564,3.1538461538461537,0,39,ar,Human,N/A
5,7,0.02564102564102564,13.615384615384615,219,39,ar,Random,N/A
4,8,0.034482758620689655,2.896551724137931,0,29,ar,Human,N/A
7,5,0.034482758620689655,10.655172413793103,129,29,ar,Random,N/A
3,3,0.14285714285714285,1.5714285714285714,0,7,ar,Human,N/A
3,2,0.14285714285714285,3.4285714285714284,6,7,ar,Random,N/A
5,10,0.018867924528301886,3.339622641509434,0,53,ar,Human,N/A
5,8,0.018867924528301886,17.245283018867923,464,53,ar,Random,N/A
3,5,0.07142857142857142,2.0,0,14,ar,Human,N/A
4,4,0.07142857142857142,3.4285714285714284,12,14,ar,Random,N/A
5,10,0.024390243902439025,3.5121951219512195,0,41,ar,Human,N/A
7,8,0.024390243902439025,10.365853658536585,164,41,ar,Random,N/A
5,14,0.017857142857142856,4.464285714285714,0,56,ar,Human,N/A
7,6,0.017857142857142856,19.928571428571427,468,56,ar,Random,N/A
3,11,0.03125,4.0,0,32,ar,Human,N/A
4,6,0.03125,12.34375,165,32,ar,Random,N/A
4,12,0.022727272727272728,2.977272727272727,0,44,ar,Human,N/A
6,8,0.022727272727272728,13.340909090909092,192,44,ar,Random,N/A
4,11,0.018518518518518517,4.388888888888889,0,54,ar,Human,N/A
